,date,Автор,Название,post_tag,post_id,Ссылка,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0
132,2024-05-15 07:00:00,Иванов Иван Иванович,Общий тираж книг и брошюр в России уменьшился более чем на 4%,Тенденции,322580,https://adindex.ru/news/tendencies/2024/05/15/322580.phtml,19.0,142.0,18.0,0.0,3.0,346.85714286,
133,2024-05-15 06:51:00,Григорьева Людмила Григорьевна,Казахстанская дочка Carlsberg не получила права на бренд «Балтика»,Право,322579,https://adindex.ru/news/right/2024/05/15/322579.phtml,41.0,274.0,39.0,0.0,2.916666665,146.116666665,
134,2024-05-15 06:41:00,Васильева Екатерина Васильевна,«Яндекс Маркет» начал продавать товары для туризма под своим брендом Outstep,Маркетинг,322578,https://adindex.ru/news/marketing/2024/05/15/322578.phtml,51.0,278.0,47.0,0.0,3.5,161.22222222,
135,2024-05-14 17:42:00,Егорова Надежда Андреевна,«Авито» разрешил продавцам оставлять отзывы на покупателей,Digital,322562,https://adindex.ru/news/digital/2024/05/14/322562.phtml,66.0,225.0,63.0,0.0,2.033333335,142.0,
136,2024-05-14 16:52:00,Данилова Светлана Викторовна,Агентство «Р-Брокер» отказалось выплачивать долг «дочке» Google,Право,322560,https://adindex.ru/news/right/2024/05/14/322560.phtml,40.0,243.0,39.0,12.5,2.65,304.875,
137,2024-05-14 15:41:00,Сидоров Антон Владимирович,Instagram* и YouTube обогнали «ВКонтакте» и «Телеграм» по количеству просмотров рекламы,Digital,322558,https://adindex.ru/news/digital/2024/05/14/322558.phtml,122.0,566.0,111.0,14.285,1.855,273.68,
138,2024-05-14 15:14:00,Иванов Иван Иванович,Metro назначил в РФ нового операционного директора,Кадры,322557,https://adindex.ru/news/hr/2024/05/14/322557.phtml,95.0,362.0,94.0,7.145,1.45,27.7666666675,
139,2024-05-14 14:24:00,Борисова Ольга Борисовна,Нейросеть OpenAI обрела голос,Digital,322556,https://adindex.ru/news/digital/2024/05/14/322556.phtml,84.0,446.0,83.0,0.0,4.105413105,252.858974355,
140,2024-05-14 12:45:00,Григорьева Людмила Григорьевна,МТС вложит в свой аналог YouTube 6 млрд рублей,Digital,322554,https://adindex.ru/news/digital/2024/05/14/322554.phtml,70.0,416.0,67.0,0.0,1.1666666650000002,36.666666665,
141,2024-05-14 11:44:00,Петрова Мария Сергеевна,Premier призывал не стесняться плакать и смеяться во время просмотра фильмов,Креатив,322552,https://adindex.ru/news/creative/2024/05/14/322552.phtml,114.0,393.0,107.0,9.19117647,1.1314285725,64.7385714275,
142,2024-05-14 10:14:00,Жукова Ирина Ильинична,«Ситидрайв» исполнил мечту о каршеринге,Креатив,322551,https://adindex.ru/news/creative/2024/05/14/322551.phtml,47.0,219.0,45.0,0.0,2.75,184.25,
143,2024-05-14 10:08:00,Борисова Ольга Борисовна,Бывший шеф-редактор «Модного приговора» стал бренд-стилистом Ozon,Маркетинг,322533,https://adindex.ru/news/marketing/2024/05/13/322533.phtml,58.0,237.0,52.0,22.220555554999997,1.125,13.75,
144,2024-05-14 08:56:00,Петрова Мария Сергеевна,Кабмин начал готовить закон о регулировании маркетплейсов,Право,322549,https://adindex.ru/news/right/2024/05/14/322549.phtml,29.0,253.0,28.0,0.0,6.25,569.5,
145,2024-05-14 07:57:00,Григорьева Людмила Григорьевна,Производство шоколада O’Zera приостановлено из-за роста цен на какао-бобы,Тенденции,322547,https://adindex.ru/news/tendencies/2024/05/14/322547.phtml,117.0,327.0,115.0,0.0,1.66037736,30.66037736,
146,2024-05-14 07:42:00,Иванов Иван Иванович,Посещаемость кинотеатров сократилась в мае из-за отсутствия зарубежного кино,Тенденции,322546,https://adindex.ru/news/tendencies/2024/05/14/322546.phtml,59.0,257.0,59.0,27.2727272725,1.2866666675,38.57,
147,2024-05-14 07:26:00,Жукова Ирина Ильинична,Российские бренды заняли 45% в общем объеме продаж на Lamoda,Маркетинг,322545,https://adindex.ru/news/marketing/2024/05/14/322545.phtml,31.0,256.0,28.0,0.0,7.3888888900000005,421.875,
148,2024-05-14 07:08:00,Васильева Екатерина Васильевна,Издательство «Просвещение» будет выпускать детские игрушки,Маркетинг,322544,https://adindex.ru/news/marketing/2024/05/14/322544.phtml,33.0,177.0,32.0,0.0,3.666666665,462.666666665,
149,2024-05-13 17:02:00,Васильева Екатерина Васильевна,Автостопом по Рекламной Галактике: открыта регистрация на AdIndex City Conference 2024,Пресс-релизы,322536,https://adindex.ru/news/releases/2024/05/13/322536.phtml,37.0,117.0,36.0,0.0,3.67361111,391.1354166675,
150,2024-05-13 16:50:00,Жукова Ирина Ильинична,"Рекламная пауза из 90-х: имидж тети Аси — ничто, когда Вилларибо буль-буль",AdYummy!,322535,https://adindex.ru/news/adyummy/2024/05/13/322535.phtml,130.0,593.0,121.0,0.8333333325,2.116666665,252.3333333325,
151,2024-05-13 14:20:00,Борисова Ольга Борисовна,«ВКонтакте» убрала счетчик просмотров на постах для некоторых пользователей,Digital,322532,https://adindex.ru/news/digital/2024/05/13/322532.phtml,85.0,356.0,76.0,0.0,1.4718181825,110.0422727275,
152,2024-05-13 13:15:00,Григорьева Людмила Григорьевна,Система маркировки товаров принесла в бюджет 1 трлн рублей,Право,322529,https://adindex.ru/news/right/2024/05/13/322529.phtml,26.0,104.0,26.0,0.0,3.5,236.4375,
153,2024-05-13 11:51:00,Егорова Надежда Андреевна,«Все продумано — придумывайте»: ПИК рассказал про «высокую моду» в квартирах с умными планировками,Креатив,322526,https://adindex.ru/news/creative/2024/05/13/322526.phtml,82.0,393.0,75.0,0.0,4.1875,1592.4375,
154,2024-05-13 10:16:00,Сидоров Антон Владимирович,Большинство регионов России поддержали законопроекты о фудшеринге,Право,322521,https://adindex.ru/news/right/2024/05/13/322521.phtml,58.0,261.0,57.0,0.0,1.5,35.0,
155,2024-05-13 10:02:00,Данилова Светлана Викторовна,ФАС признала ненадлежащей рекламу вклада Альфа-банка,Право,322524,https://adindex.ru/news/right/2024/05/13/322524.phtml,55.0,249.0,51.0,4.165,3.2238235299999998,246.348235295,
156,2024-05-13 09:19:00,Григорьева Людмила Григорьевна,Стоимость бизнес-ланчей в России увеличилась более чем на 7%,Тенденции,322523,https://adindex.ru/news/tendencies/2024/05/13/322523.phtml,27.0,133.0,26.0,0.0,3.873737375,60.055555555,
157,2024-05-13 08:51:00,Жукова Ирина Ильинична,Розничные продажи игристых вин выросли более чем на 13%,Тенденции,322520,https://adindex.ru/news/tendencies/2024/05/13/322520.phtml,20.0,128.0,20.0,0.0,5.85714286,356.28571429,
158,2024-05-13 07:56:00,Сидоров Антон Владимирович,Mercury может начать выпуск одежды под брендом iCool,Маркетинг,322519,https://adindex.ru/news/marketing/2024/05/13/322519.phtml,47.0,98.0,43.0,1.72413793,1.1875,24.1875,
159,2024-05-13 07:49:00,Жукова Ирина Ильинична,Операторы большой четверки вернулись к темпам роста до февраля 2022 года,Тенденции,322518,https://adindex.ru/news/tendencies/2024/05/13/322518.phtml,40.0,127.0,40.0,0.0,1.75,569.25,
160,2024-05-13 07:17:00,Жукова Ирина Ильинична,Apple предупредили об опасности блокировки рекламы,Digital,322517,https://adindex.ru/news/digital/2024/05/13/322517.phtml,85.0,314.0,82.0,0.0,1.6666666675,23.75,
161,2024-05-13 06:59:00,Андреева Анастасия Андреевна,Microsoft разблокировала обновления для пользователей из России,Digital,322516,https://adindex.ru/news/digital/2024/05/13/322516.phtml,169.0,339.0,149.0,0.0,1.2556391,273.0,
162,2024-05-08 12:59:00,Сидоров Антон Владимирович,Доля онлайн-торговли товаров повседневного спроса впервые превысила 10% рынка,Исследования,322508,https://adindex.ru/news/researches/2024/05/8/322508.phtml,132.0,703.0,125.0,0.0,3.020408165,277.083333335,
163,2024-05-08 11:00:00,Андреева Анастасия Андреевна,«Авито» обновил кабинет для рекламных агентств,Digital,322504,https://adindex.ru/news/digital/2024/05/8/322504.phtml,85.0,431.0,80.0,0.0,2.69642857,454.16071428500004,
164,2024-05-08 09:48:00,Григорьева Людмила Григорьевна,OpenAI начал работу над новой системой поиска,Digital,322499,https://adindex.ru/news/digital/2024/05/8/322499.phtml,55.0,262.0,53.0,0.0,4.0,160.07999999999998,
165,2024-05-08 07:59:00,Васильева Екатерина Васильевна,«Ситилинк» начал увольнять сотрудников из-за убытков,Тенденции,322498,https://adindex.ru/news/tendencies/2024/05/8/322498.phtml,107.0,265.0,106.0,0.0,1.14285714,44.4,
166,2024-05-08 07:46:00,Борисова Ольга Борисовна,Россияне стали реже брать потребительские кредиты,Тенденции,322497,https://adindex.ru/news/tendencies/2024/05/8/322497.phtml,37.0,174.0,32.0,7.142857145,4.35,433.85,
167,2024-05-08 07:39:00,Сидоров Антон Владимирович,Фонд кино выбрал фильмы для господдержки,Медиа,322496,https://adindex.ru/news/media/2024/05/8/322496.phtml,78.0,233.0,75.0,0.0,1.2413793100000001,32.0,
168,2024-05-08 07:18:00,Иванов Иван Иванович,Apple показала новый флагманский планшет iPad Pro,Маркетинг,322495,https://adindex.ru/news/marketing/2024/05/8/322495.phtml,264.0,540.0,260.0,0.0,1.2218045100000001,48.940677965,
169,2024-05-07 19:10:00,Андреева Анастасия Андреевна,Любовь Петрова ушла с поста пресс-секретаря НСПК,Кадры,322494,https://adindex.ru/news/hr/2024/05/7/322494.phtml,123.0,350.0,122.0,0.0,5.125,1013.01875,
170,2024-05-07 17:59:00,Борисова Ольга Борисовна,«Роллтон» доказал бабушке натуральность своего картофеля,Креатив,322492,https://adindex.ru/news/creative/2024/05/7/322492.phtml,191.0,569.0,187.0,4.166666665,2.665,292.45038461499996,
171,2024-05-07 15:32:00,Васильева Екатерина Васильевна,Более половины опрошенных маркетологов из разных стран увеличат бюджет на соцсети,Digital,322484,https://adindex.ru/news/digital/2024/05/7/322484.phtml,63.0,361.0,59.0,0.0,2.6333333325000003,173.725,
172,2024-05-07 15:16:00,Борисова Ольга Борисовна,Бывший завод Toyota в Санкт-Петербурге перешел Aurus,Маркетинг,322483,https://adindex.ru/news/marketing/2024/05/7/322483.phtml,99.0,295.0,95.0,0.0,2.0,118.76923077,
173,2024-05-07 12:26:00,Петрова Мария Сергеевна,Александр Петров зашел во «Вкусно — и точка» в рамках путешествия во времени,Креатив,322480,https://adindex.ru/news/creative/2024/05/7/322480.phtml,2616.0,3627.0,2488.0,8.5069763175,1.1835011275,18.9879107975,
174,2024-05-07 11:17:00,Данилова Светлана Викторовна,Ozon создал AI-генератор одежды на виртуальной модели,Digital,322478,https://adindex.ru/news/digital/2024/05/7/322478.phtml,230.0,654.0,211.0,0.0,2.0,58.5,
175,2024-05-07 07:42:00,Васильева Екатерина Васильевна,Оборот Ozon Travel увеличился более чем в три раза,Digital,322471,https://adindex.ru/news/digital/2024/05/7/322471.phtml,104.0,468.0,97.0,0.0,2.43236715,109.26086956500001,
176,2024-05-07 07:29:00,Сидоров Антон Владимирович,В России могут выпустить аналог Lego — Rubrick,Маркетинг,322470,https://adindex.ru/news/marketing/2024/05/7/322470.phtml,46.0,202.0,41.0,0.0,1.75,19.75,
177,2024-05-07 07:16:00,Жукова Ирина Ильинична,«Синема парк» и «Формула кино» допустили открытие своих ресторанов,Маркетинг,322469,https://adindex.ru/news/marketing/2024/05/7/322469.phtml,169.0,298.0,146.0,0.0,3.0,73.5,
